displayName,apiName,line,neighborsUp,neighborsDown,branchTag
당고개역,당고개,4호선,,상계(4호선),main
상계역,상계,4호선,당고개(4호선),노원(4호선),main
노원역,노원,4호선,상계(4호선),창동(4호선),main
창동역,창동,4호선,노원(4호선),쌍문(4호선),main
쌍문역,쌍문,4호선,창동(4호선),수유(4호선),main
수유역,수유,4호선,쌍문(4호선),미아(4호선),main
미아역,미아,4호선,수유(4호선),미아사거리(4호선),main
미아사거리역,미아사거리,4호선,미아(4호선),길음(4호선),main
길음역,길음,4호선,미아사거리(4호선),성신여대입구(4호선),main
성신여대입구역,성신여대입구,4호선,길음(4호선),한성대입구(4호선),main
한성대입구역,한성대입구,4호선,성신여대입구(4호선),혜화(4호선),main
혜화역,혜화,4호선,한성대입구(4호선),동대문(4호선),main
동대문역,동대문,4호선,혜화(4호선),동대문역사문화공원(4호선),main
동대문역사문화공원역,동대문역사문화공원,4호선,동대문(4호선),충무로(4호선),main
충무로역,충무로,4호선,동대문역사문화공원(4호선),명동(4호선),main
명동역,명동,4호선,충무로(4호선),회현(4호선),main
회현역,회현,4호선,명동(4호선),서울역(4호선),main
서울역,서울,4호선,회현(4호선),숙대입구(4호선),main
숙대입구역,숙대입구,4호선,서울역(4호선),삼각지(4호선),main
삼각지역,삼각지,4호선,숙대입구(4호선),신용산(4호선),main
신용산역,신용산,4호선,삼각지(4호선),이촌(4호선),main
이촌역,이촌,4호선,신용산(4호선),동작(4호선),main
동작역,동작,4호선,이촌(4호선),총신대입구(이수)(4호선),main
총신대입구(이수)역,총신대입구(이수),4호선,동작(4호선),사당(4호선),main
사당역,사당,4호선,총신대입구(이수)(4호선),남태령(4호선),main
남태령역,남태령,4호선,사당(4호선),선바위(4호선),main
선바위역,선바위,4호선,남태령(4호선),경마공원(4호선),main
경마공원역,경마공원,4호선,선바위(4호선),대공원(4호선),main
대공원역,대공원,4호선,경마공원(4호선),과천(4호선),main
과천역,과천,4호선,대공원(4호선),정부과천청사(4호선),main
정부과천청사역,정부과천청사,4호선,과천(4호선),인덕원(4호선),main
인덕원역,인덕원,4호선,정부과천청사(4호선),평촌(4호선),main
평촌역,평촌,4호선,인덕원(4호선),범계(4호선),main
범계역,범계,4호선,평촌(4호선),금정(4호선),main
금정역,금정,4호선,범계(4호선),산본(4호선),main
산본역,산본,4호선,금정(4호선),대야미(4호선),main
대야미역,대야미,4호선,산본(4호선),반월(4호선),main
반월역,반월,4호선,대야미(4호선),상록수(4호선),main
상록수역,상록수,4호선,반월(4호선),한대앞(4호선),main
한대앞역,한대앞,4호선,상록수(4호선),중앙(4호선),main
중앙역,중앙,4호선,한대앞(4호선),고잔(4호선),main
고잔역,고잔,4호선,중앙(4호선),초지(4호선),main
초지역,초지,4호선,고잔(4호선),안산(4호선),main
안산역,안산,4호선,초지(4호선),신길온천(4호선),main
신길온천역,신길온천,4호선,안산(4호선),정왕(4호선),main
정왕역,정왕,4호선,신길온천(4호선),오이도(4호선),main
오이도역,오이도,4호선,정왕(4호선),,main
시청역,시청,2호선,아현(2호선),을지로입구(2호선),main
을지로입구역,을지로입구,2호선,시청(2호선),을지로3가(2호선),main
을지로3가역,을지로3가,2호선,을지로입구(2호선),을지로4가(2호선),main
을지로4가역,을지로4가,2호선,을지로3가(2호선),동대문역사문화공원(2호선),main
동대문역사문화공원역,동대문역사문화공원,2호선,을지로4가(2호선),신당(2호선),main
신당역,신당,2호선,동대문역사문화공원(2호선),상왕십리(2호선),main
상왕십리역,상왕십리,2호선,신당(2호선),왕십리(2호선),main
왕십리역,왕십리,2호선,상왕십리(2호선),한양대(2호선),main
한양대역,한양대,2호선,왕십리(2호선),뚝섬(2호선),main
뚝섬역,뚝섬,2호선,한양대(2호선),성수(2호선),main
성수역,성수,2호선,뚝섬(2호선),건대입구(2호선),main
건대입구역,건대입구,2호선,성수(2호선),구의(2호선),main
구의역,구의,2호선,건대입구(2호선),강변(2호선),main
강변역,강변,2호선,구의(2호선),잠실나루(2호선),main
잠실나루역,잠실나루,2호선,강변(2호선),잠실(2호선),main
잠실역,잠실,2호선,잠실나루(2호선),잠실새내(2호선),main
잠실새내역,잠실새내,2호선,잠실(2호선),종합운동장(2호선),main
종합운동장역,종합운동장,2호선,잠실새내(2호선),삼성(2호선),main
삼성역,삼성,2호선,종합운동장(2호선),선릉(2호선),main
선릉역,선릉,2호선,삼성(2호선),역삼(2호선),main
역삼역,역삼,2호선,선릉(2호선),강남(2호선),main
강남역,강남,2호선,역삼(2호선),교대(2호선),main
교대역,교대,2호선,강남(2호선),서초(2호선),main
서초역,서초,2호선,교대(2호선),방배(2호선),main
방배역,방배,2호선,서초(2호선),사당(2호선),main
사당역,사당,2호선,방배(2호선),낙성대(2호선),main
낙성대역,낙성대,2호선,사당(2호선),서울대입구(2호선),main
서울대입구역,서울대입구,2호선,낙성대(2호선),봉천(2호선),main
봉천역,봉천,2호선,서울대입구(2호선),신림(2호선),main
신림역,신림,2호선,봉천(2호선),신대방(2호선),main
신대방역,신대방,2호선,신림(2호선),구로디지털단지(2호선),main
구로디지털단지역,구로디지털단지,2호선,신대방(2호선),대림(2호선),main
대림역,대림,2호선,구로디지털단지(2호선),신도림(2호선),main
신도림역,신도림,2호선,대림(2호선),문래(2호선),main
문래역,문래,2호선,신도림(2호선),영등포구청(2호선),main
영등포구청역,영등포구청,2호선,문래(2호선),당산(2호선),main
당산역,당산,2호선,영등포구청(2호선),합정(2호선),main
합정역,합정,2호선,당산(2호선),홍대입구(2호선),main
홍대입구역,홍대입구,2호선,합정(2호선),신촌(2호선),main
신촌역,신촌,2호선,홍대입구(2호선),이대(2호선),main
이대역,이대,2호선,신촌(2호선),아현(2호선),main
아현역,아현,2호선,이대(2호선),시청(2호선),main
